A0A016TDC4	597851167
A0A023J2S6	488390
A0A023T672	162287296
A0A023T787	4826972
A0A024B7E3	631489908
A0A024E364	634066140
A0A024L5K0	42391
A0A024QYS2	190194386
A0A024QYU9	4503525
A0A024QYV7	24308007
A0A024QYW7	42821112
A0A024QYX5	23270836,7110661
A0A024QYX8	4507909
A0A024QYY0	193788624
A0A024QYZ0	7657546
A0A024QYZ6	31083351
A0A024QZ02	102469694
A0A024QZ09	33457350
A0A024QZ29	124517699
A0A024QZ31	578803662
A0A024QZ34	310923208
A0A024QZ35	154800478
A0A024QZ45	301897118
A0A024QZ47	18104962
A0A024QZ59	22027622
A0A024QZ63	42794779
A0A024QZ64	4885063
A0A024QZ75	102468717
A0A024QZ77	20149675
A0A024QZ98	58761496,58761498
A0A024QZA7	18605512
A0A024QZA8	32967311
A0A024QZB0	62955044
A0A024QZC0	119572376
A0A024QZD1	12653213,16307237,4506607
A0A024QZD5	29568103,337447
A0A024QZE6	119572504,257900512
A0A024QZF1	119572964,24497603,49456403
A0A024QZF2	5454028
A0A024QZG0	557440901,7662230
A0A024QZG3	302370956
A0A024QZI4	578834525
A0A024QZI5	14149617,223890284
A0A024QZJ1	119574539
A0A024QZJ8	16306492
A0A024QZK5	62177133
A0A024QZL1	15930161,32433,338062
A0A024QZL4	28629866
A0A024QZM0	311771708,578819514
A0A024QZM2	46397369,501354174
A0A024QZM3	4758260
A0A024QZM6	38373669
A0A024QZM9	15488889
A0A024QZN5	119574544,119574543
A0A024QZN7	8923930
A0A024QZQ6	15929606,9506687
A0A024QZR5	46370095,578819255,6912240
A0A024QZS4	5031987
A0A024QZS8	8922448
A0A024QZT2	21361625
A0A024QZT4	4758906
A0A024QZU1	11125768
A0A024QZV0	224493972
A0A024QZV9	215422375
A0A024QZW2	13569843
A0A024QZY4	5454014
A0A024QZY7	7705682
A0A024QZY9	164414421
A0A024R006	7705268
A0A024R014	119575746
A0A024R026	13569909
A0A024R028	14277690
A0A024R040	4557817
A0A024R042	5901908
A0A024R045	14602581
A0A024R046	10835240
A0A024R056	11321585
A0A024R059	148298677
A0A024R064	119576295
A0A024R069	16306595
A0A024R071	24430149
A0A024R084	18699732
A0A024R094	119576471
A0A024R098	21264318
A0A024R0A1	27262661
A0A024R0A8	21361647
A0A024R0B7	166235182,530361801
A0A024R0C0	5174415
A0A024R0C3	530378748
A0A024R0D2	166197671
A0A024R0E2	338968932,56117852
A0A024R0E5	1336099,5453597
A0A024R0F0	38383010
A0A024R0F1	119577070,40807471
A0A024R0F2	33300633
A0A024R0F8	164519122
A0A024R0G0	115270970
A0A024R0H6	42476169
A0A024R0H7	13129110
A0A024R0H9	38201642
A0A024R0J9	21536320
A0A024R0K5	178677
A0A024R0K8	28422140
A0A024R0M8	5922001
A0A024R0N2	15718684
A0A024R0P7	530415872
A0A024R0P9	5174723
A0A024R0Q0	145301567
A0A024R0Q7	5453958
A0A024R0R2	16604260
A0A024R0R4	4885585
A0A024R0R6	124028529
A0A024R0S6	21361462
A0A024R0S9	75812980
A0A024R0V6	119577894
A0A024R0V9	119578208
A0A024R0W3	21361602,25955655,10945621
A0A024R0X8	22094079
A0A024R0Y2	38679974
A0A024R0Y5	15215397,18203737,4505749
A0A024R0Y6	4502203
A0A024R0Y9	148746216
A0A024R0Z3	119578419
A0A024R100	8923625
A0A024R101	148746220
A0A024R118	89145417
A0A024R124	117168275
A0A024R125	1335856
A0A024R128	31542675
A0A024R129	119578487
A0A024R136	21361397
A0A024R150	16554585
A0A024R151	18034692
A0A024R157	4507811
A0A024R158	110347418
A0A024R165	15208663
A0A024R169	239787838
A0A024R177	119579528
A0A024R189	119579530
A0A024R1A3	23510340
A0A024R1C1	530419757,7657473
A0A024R1D6	50959085,50959110
A0A024R1E4	31455234,51243055
A0A024R1E5	6912458
A0A024R1E6	46249373,5174641
A0A024R1F9	119580248,20270253
A0A024R1G6	578837398
A0A024R1G9	56699463
A0A024R1H0	20379476
A0A024R1H3	7706509
A0A024R1I7	56788356,8393259
A0A024R1K5	13489112,530419785
A0A024R1K8	14043385
A0A024R1N1	12667788
A0A024R1N4	178650,4503841
A0A024R1P2	4506381
A0A024R1P5	530420665
A0A024R1P7	50953788
A0A024R1Q0	27477113
A0A024R1Q3	13129022
A0A024R1Q8	4506605
A0A024R1S2	23266706,4502703
A0A024R1S7	21264355
A0A024R1S8	5453710
A0A024R1T5	180687
A0A024R1T8	8922528
A0A024R1T9	13623199,38569421
A0A024R1U0	4506411
A0A024R1U2	14249398
A0A024R1U5	194097356
A0A024R1V3	14110375
A0A024R1V4	4506623
A0A024R1V6	578840403
A0A024R1W6	45503242
A0A024R1X5	16307457,4502395
A0A024R1Y2	38569423
A0A024R1Y5	149408122
A0A024R1Z4	222136628
A0A024R203	119581295
A0A024R206	37622894
A0A024R219	5174755
A0A024R241	52630429
A0A024R244	21361553
A0A024R248	92087058
A0A024R252	119583244
A0A024R254	119583300
A0A024R261	4506617
A0A024R273	119583187,205277435
A0A024R280	10863955
A0A024R284	16753203
A0A024R288	170763513
A0A024R2A7	119583501,5031873
A0A024R2B1	38504669
A0A024R2D5	7662002
A0A024R2E4	48255949
A0A024R2F2	4507891
A0A024R2F4	530372212
